init_capital,cash,market_value,positions,total_value,return,last_return
1000000,924831.4230368043,0.0,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",924831.4230368043,-0.07516857696319569,0.0
1000000,924831.4230368043,0.0,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",924831.4230368043,-0.07516857696319569,0.0
1000000,924831.4230368043,0.0,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",924831.4230368043,-0.07516857696319569,0.0
1000000,924831.4230368043,0.0,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",924831.4230368043,-0.07516857696319569,0.0
1000000,924831.4230368043,0.0,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",924831.4230368043,-0.07516857696319569,0.0
1000000,924831.4230368043,0.0,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",924831.4230368043,-0.07516857696319569,0.0
1000000,924831.4230368043,0.0,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",924831.4230368043,-0.07516857696319569,0.0
1000000,924831.4230368043,0.0,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",924831.4230368043,-0.07516857696319569,0.0
1000000,924831.4230368043,0.0,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",924831.4230368043,-0.07516857696319569,0.0
1000000,924831.4230368043,0.0,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",924831.4230368043,-0.07516857696319569,0.0
1000000,924831.4230368043,0.0,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",924831.4230368043,-0.07516857696319569,0.0
1000000,11478.80765625008,913169.9813842773,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",924648.7890405274,-0.07535121095947257,-0.00019747814761439386
1000000,11478.80765625008,977402.9739379883,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",988881.7815942384,-0.011118218405761639,0.06946744895471402
1000000,5120.286374130328,968388.2907867432,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",973508.5771608735,-0.02649142283912655,-0.015546048799261691
1000000,5120.286374130328,933893.7538146973,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",939014.0401888276,-0.06098595981117245,-0.03543321320562498
1000000,5120.286374130328,953209.2163085938,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",958329.502682724,-0.04167049731727596,0.020569940029876888
1000000,5120.286374130328,944398.2612609863,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",949518.5476351166,-0.050481452364883383,-0.009194076800246975
1000000,5120.286374130328,1014708.7760925293,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1019829.0624666596,0.019829062466659584,0.0740485954767911
1000000,5120.286374130328,1003774.7833251953,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1008895.0696993256,0.0088950696993256,-0.010721397506448738
1000000,5120.286374130328,1013944.7799682617,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1019065.066342392,0.019065066342392006,0.010080331392735786
1000000,5120.286374130328,1014053.7460327148,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1019174.0324068451,0.01917403240684513,0.00010692748486040848
1000000,5120.286374130328,1016442.2164916992,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1021562.5028658295,0.021562502865829506,0.0023435354346144077
1000000,5120.286374130328,1066746.2310791016,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1071866.5174532318,0.07186651745323185,0.04924222888592955
1000000,5120.286374130328,1055578.7796020508,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1060699.065976181,0.06069906597618107,-0.01041869607382162
1000000,5120.286374130328,1087111.2091064453,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1092231.4954805756,0.0922314954805756,0.029727969521095687
1000000,5120.286374130328,1096530.0369262695,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1101650.3233003998,0.10165032330039982,0.00862347209249803
1000000,5120.286374130328,1074789.2349243164,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1079909.5212984467,0.0799095212984467,-0.019734757519809465
1000000,5120.286374130328,1030411.2945556641,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1035531.5809297943,0.035531580929794346,-0.041094128251868534
1000000,5120.286374130328,1065374.5262145996,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1070494.81258873,0.0704948125887299,0.033763559028824996
1000000,5120.286374130328,1052537.7388000488,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1057658.025174179,0.05765802517417912,-0.011991452236473799
1000000,5120.286374130328,1071829.2686462402,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1076949.5550203705,0.07694955502037053,0.018239855782320902
1000000,5120.286374130328,1068784.268951416,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1073904.5553255463,0.0739045553255463,-0.0028274301991485506
1000000,5120.286374130328,1042805.4847717285,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1047925.7711458588,0.0479257711458588,-0.02419096189773795
1000000,5120.286374130328,1089516.2055969238,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1094636.491971054,0.09463649197105412,0.04457445566408702
1000000,5120.286374130328,1100526.040649414,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1105646.3270235443,0.10564632702354435,0.010057982840189661
1000000,5120.286374130328,1072103.7948608398,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1077224.0812349701,0.07722408123497013,-0.025706453405483054
1000000,5120.286374130328,1098252.9777526855,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1103373.2641268158,0.10337326412681583,0.024274599266168817
1000000,5120.286374130328,1110074.9664306643,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1115195.2528047946,0.11519525280479458,0.010714405598122312
1000000,5120.286374130328,1121009.7091674805,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1126129.9955416108,0.12612999554161075,0.009805227119927595
1000000,5120.286374130328,1127553.5369873045,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1132673.8233614347,0.13267382336143474,0.005810899137516312
1000000,5120.286374130328,1134301.205444336,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1139421.4918184662,0.13942149181846622,0.005957291779734364
1000000,5120.286374130328,1146989.2837524416,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1152109.570126572,0.15210957012657192,0.011135544132887976
1000000,5120.286374130328,1121096.2165832522,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1126216.5029573825,0.12621650295738246,-0.02247448319203249
1000000,5120.286374130328,1104166.249847412,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1109286.5362215424,0.1092865362215424,-0.015032604025409735
1000000,5120.286374130328,1108971.492767334,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1114091.7791414643,0.11409177914146428,0.004331832004641045
1000000,5120.286374130328,1124968.772125244,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1130089.0584993742,0.1300890584993742,0.014359031865613048
1000000,5120.286374130328,1135825.022125244,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1140945.3084993742,0.1409453084993742,0.009606543766042419
1000000,5120.286374130328,1127971.5301513672,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1133091.8165254975,0.13309181652549748,-0.006883320274313598
1000000,5120.286374130328,1140506.7726135252,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1145627.0589876554,0.14562705898765543,0.01106286558541747
1000000,5120.286374130328,1126844.2054748535,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1131964.4918489838,0.1319644918489838,-0.011925841862311382
1000000,5120.286374130328,1127383.2168579104,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1132503.5032320407,0.1325035032320407,0.0004761734020264363
1000000,5120.286374130328,1115495.2949523926,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1120615.5813265229,0.12061558132652286,-0.010497028814119291
1000000,1113939.4632845304,7952.7496337890625,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1121892.2129183195,0.1218922129183195,0.0011392234884735064
